SMILES,UV_RT-s,Method
CC1=CC=CC=C1CNC(C2=CC3=CC(F)=CC=C3O2)=O,82.2,AM-III
COC1=CC(OC)=CC(CN(C(N2CCC(CC2)=O)(C(NCC3=CC=CC=C3)=O)OC(C)(C)C)C(C4=CC=C5N=C(C)C=CC5=C4)=O)=C1,79.2,AM-III
CN(C1=NC=C(N(=O)=O)C=N1)CC2=CC=C(C=C2)OC,82.701546,AM-III
CC(C=C1)=CC=C1CN(C2(C(NC3=CC=C4C=CC=CC4=C3)=O)CCC5(OCCO5)CC2)C(C6=CC=C7OCCOC7=C6)=O,97.2,AM-III
COCC1=CC=C(C=C1)NC(C2=CC(I)=C(C)C=C2)=O,84.0,AM-III
FC(F)(F)C(N=C1)=CC=C1NC(C2CC(OC)(OC)C2)=O,69.0,AM-III
CC1=CC=C(C(N(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)CC4=CC=NC=C4)=O)C=C1,67.2,AM-III
CC(C)(C)C1=CC=CC=C1NC(C2=CC3=CC=CC=C3S2)=O,90.0,AM-III
O=C(NC1=CC(OCC2=CC=CC=C2)=CC=C1)CCC3=CC=C(C=C3)O,79.8,AM-III
CC(C=C1)=CC=C1CN(C2(C(NCC3=CC=CC=C3)=O)CCN(CC2)CC4=CC=CC=C4)C(C5=CC=C6N=C(C)C=CC6=C5)=O,66.6,AM-III
CC(C)(C)C1=CC=CC=C1NC(COCC2=CC=CC=C2)=O,90.6,AM-III
O=C(NCC1=CC=CC=C1)C2=CC=C(C=C2)C#C,74.4,AM-III
