SMILES,UV_RT-s,Method
CC(C)(C)C1=CC(C(NCC2=CC=C(C)C=C2)=O)=CC(C(C)(C)C)=C1,111.6,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2C3=C(OC4=C2C=CC=C4)C=CC=C3,96.0,AM-IV
CC1=CC=C(C=C1)CNC(CC2=CC3=C(C=C2)OCC4=C(C=CC=C4)C3=O)=O,91.2,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2=CC=C3N=C(C)C=CC3=C2,67.2,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2=CC=C(C#N)C=C2,82.2,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2=CC=C([N+]([O-])=O)C=C2,85.8,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2=CC=CO2,76.8,AM-IV
O=C(NCC1=CC=C(C)C=C1)/C=C/C2=CC=CC=C2,87.6,AM-IV
COC1=CC=C(CNC(CC2=CC=C(C)C=C2)=O)C=C1,84.6,AM-IV
COC1=CC=C(CNC(COC2=CC=CC=C2)=O)C=C1,83.4,AM-IV
COC1=CC=C(CNC(C2=C(C)C=CC=C2C)=O)C=C1,83.4,AM-IV
O=C(NCC1=CC=C(OC)C=C1)C(C2=CC3=CC=C(OC)C=C3C=C2)C,91.2,AM-IV
CC(C1=CC=C(C=C1)CC2CCCC2=O)C(NCC3=CC=C(OC)C=C3)=O,87.0,AM-IV
O=C(NCC1=CC=C(OC)C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,93.0,AM-IV
O=C(NCC1=CC=C(OC)C=C1)CC2=CC=C(C(F)(F)F)C=C2,88.2,AM-IV
O=C(NCC1=CC=C(OC)C=C1)CC2=CC=C3C(OCO3)=C2,77.4,AM-IV
FC1=CC(C(C)C(NCC2=CC=C(OC)C=C2)=O)=CC=C1C3=CC=CC=C3,97.2,AM-IV
O=C(NCC1=CC=C(OC)C=C1)C2C3=C(OC4=C2C=CC=C4)C=CC=C3,91.8,AM-IV
O=C1C2=C(C=CC(CC(NCC3=CC=C(OC)C=C3)=O)=C2)OCC4=C1C=CC=C4,87.6,AM-IV
O=C(C1=CC=C2N=C(C)C=CC2=C1)NCC3=CC=C(OC)C=C3,61.8,AM-IV
O=C(NCC1=CC=C(OC)C=C1)C2=CC=CO2,70.8,AM-IV
O=C(NCC1=CC=C(OC)C=C1)/C=C/C2=CC=CC=C2,82.8,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)CC3=CC=C(C=C3)C,81.0,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)COC3=CC=CC=C3,81.0,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)CC3=CC(F)=CC(F)=C3,81.6,AM-IV
CC(C(NCC1=CC2=C(OCO2)C=C1)=O)C3=CC=C(C=C3)CBr,87.6,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)C3=CC=C(C=N3)C(F)(F)F,88.2,AM-IV
O=C(NCC1=CC2=C(C=C1)OCO2)C3=CC(C)=CC(C)=C3,86.4,AM-IV
CC(C1=CC=CC=C1)(C(NCC2=CC3=C(OCO3)C=C2)=O)C,88.8,AM-IV
CC(C(NCC1=CC2=C(OCO2)C=C1)=O)C3=CC=C(CC4CCCC4=O)C=C3,87.6,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)C(C3=CC=CC=C3)C4=CC=CC=C4,93.0,AM-IV
FC(F)(F)C1=CC=C(C=C1)CC(NCC2=CC3=C(OCO3)C=C2)=O,86.4,AM-IV
FC1=CC(C(C(NCC2=CC3=C(OCO3)C=C2)=O)C)=CC=C1C4=CC=CC=C4,95.4,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NCC4=CC5=C(OCO5)C=C4)=O)=C2,88.2,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)C3=CC=C4N=C(C=CC4=C3)C,62.4,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)C3=CC=CO3,71.4,AM-IV
O=C(NCC1=CC2=C(OCO2)C=C1)/C=C/C3=CC=CC=C3,84.0,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)CC3=CC=C(C)C=C3,92.4,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)COC3=CC=CC=C3,91.8,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)CC3=CC(F)=CC(F)=C3,91.2,AM-IV
CC(C)(C1=CC=CC=C1)C(NCC2=C3C=CC=CC3=CC=C2)=O,96.6,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)C(C3=CC=CC=C3)C4=CC=CC=C4,100.2,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)CC3=CC=C4C(OCO4)=C3,87.6,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)C3C4=C(OC5=C3C=CC=C5)C=CC=C4,100.2,AM-IV
O=C1C2=C(C=CC(CC(NCC3=C4C=CC=CC4=CC=C3)=O)=C2)OCC5=C1C=CC=C5,96.0,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)C3=CC=C4N=C(C)C=CC4=C3,74.4,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)C3=CC=CO3,83.4,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)/C=C/C3=CC=CC=C3,93.0,AM-IV
O=C(NCC1=C2C=CC=CC2=CC=C1)C3=NC=CC=N3,76.2,AM-IV
O=C(NC1=CC=C2SC=NC2=C1)CC3=CC=C(C=C3)C,82.8,AM-IV
O=C(NC1=CC=C2SC=NC2=C1)C(C3=CC=CC=C3)C4=CC=CC=C4,93.0,AM-IV
O=C(NC1=CC=C2SC=NC2=C1)CC3=CC(F)=CC(F)=C3,81.0,AM-IV
O=C(NC1=CC=C2SC=NC2=C1)CC3=CC=C4C(OCO4)=C3,75.0,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC4=CC=C5SC=NC5=C4)=O)=C2,85.8,AM-IV
O=C(NC1=CC=C2SC=NC2=C1)C3=CC=C4N=C(C=CC4=C3)C,60.6,AM-IV
