SMILES,UV_RT-s,Method
C1(CC2=NC3=CC=CC=C3S2)=CC=CC=C1,85.2,AM-I
FC1=CC=C(C2=C3N=CC=NC3=CC=C2N)C=C1,66.0,AM-I
ClC1=CC=C(C(C=N2)=C(N=C2OC)OC)C=C1,84.0,AM-I
CC1=CN=C(C(C=C2)=CC=C2C#N)C=C1,70.8,AM-I
CC(C)(C)OC(N1C=C(C2=CC(C)=CN=C2)C3=C1C=CC=C3)=O,79.8,AM-I
COC1=CC=CC(C2=CN=C(OC)C(C(O)=O)=C2)=C1,72.050796,AM-I
OCCC#CC1=C2N=CC=CN2N=C1,39.6,AM-I
O=C1NC2=C(C1=O)C=C(C(C=N3)=CC=C3OC)C=C2,61.8,AM-I
CC1=CC=C(C2=CC3=CC=CC=C3O2)C(C)=N1,62.4,AM-I
CC1=CC=C(C2=NC3=C(NC=C3)N=C2)C=C1,69.0,AM-I
CC(C1=CC(C2=CN(N=C2)C)=CC=C1F)=O,63.0,AM-I
C[Si](C)(C)C1=CC=CC=C1C2=CN=C(N=C2)N,76.2,AM-I
ClC1=CC=C(C(N=C2)=NC=C2CC)C=C1,87.0,AM-I
CC1=C(C2=CC=CC(OC)=C2)C(C)=NN1,63.0,AM-I
CC1=C(C2=CN=C3NC=CC3=N2)C(C)=NO1,54.6,AM-I
O=C(C1=NC=C(C(F)(F)F)C=C1)OC2=CC(C)=CC(C)=C2,86.4,AM-I
COc1ccc(C2=CC=CC(C)=C2C)nc1,72.0,AM-I
NC1=CC(C#CC(C=CC=C2)=C2C(C)C)=CC=C1,88.2,AM-I
CC1=C(C(C=N2)=CC=C2OC)C=NN1C,56.4,AM-I
C1(C2=CC=CC(OCC3=CC=CC=C3)=C2)=NC=CC=C1,81.6,AM-I
CC1=CC(C)=CC(C(C=C2)=CC=C2C(N)=O)=C1,76.8,AM-I
CC1=CC=C(C2=CC3=C(C=CC=C3)S2)C(C)=N1,67.8,AM-I
NC1=CC(C)=CC(C2=CC(OC)=CC=C2OC)=N1,56.4,AM-I
CC1=C(C2=CC=C(C=C2)N3C4=C(C=CC=C4)C5=C3C=CC=C5)C=NC=C1,84.0,AM-I
NC1=CC(C#CC(C=C2)=CC3=C2NC=C3C=O)=CC=C1,61.8,AM-I
NC1=CC=C(C=C1)C#CC2=CC=CC=C2F,78.6,AM-I
CCN(CC)C(C=C1)=CC=C1C(C2=CC=C(C=C2)N(CC)CC)(O)C#CC3=CC=CN=C3,84.0,AM-I
CC1=CC=CC(C(C=C2)=NC=C2C)=C1,63.450186,AM-I
OC1=CC=C(C2=CC=NC=C2)C3=C1C=CC=C3,53.4,AM-I
C1(C#CC2=C3N=CC=CN3N=C2)=NC=CC=C1,50.4,AM-I
CC1=C(C2=C3C=CC=CC3=CC=C2)C=NC=C1,63.0,AM-I
O=C(C1=CC(C2=CN=C(NC=C3)C3=N2)=CC=C1)C,60.6,AM-I
COc1cccc(n1)N1CCOCC1C,73.8,AM-I
FC1=CC=C(C2=CN=CN=C2)C(F)=N1,56.4,AM-I
COC1=CC=C(C2=CN=C(NC=C3)C3=N2)C=N1,61.2,AM-I
N#CC1=CC=C(C2=CN=CC3=C2C=CC=C3)S1,71.4,AM-I
COC1=CN=CC(C2=CC=C(N=C2)F)=C1,50.4,AM-I
CC1=CN=C(C#CC2=CC=CS2)C=C1,75.6,AM-I
COC1=CC=C(OC)C(C2=CC3=C(C=NC=C3)C=C2)=C1,61.2,AM-I
COC(C=CC(C1=CN=CC2=CC=CC=C12)=C3)=C3F,64.8,AM-I
C[C@@H](C#CC1=NC2=CC=CC=C2N=C1)O,55.8,AM-I
COC1=CC=C(C2=CN=C3NC=CC3=N2)C=C1,63.6,AM-I
ClC1=CC=C(C2=CN=CN=C2)C=C1,66.6,AM-I
CC1=CN=C(C2=CC=CC=C2OC)N=C1,55.8,AM-I
COC1=CC=C(C2=CC=C3N=CC=CC3=C2)C=C1F,66.6,AM-I
CC(C(Cl)=C1)=CC=C1OC2=NC(C)=NC3=CC=CC=C32,90.6,AM-I
ON1N=NC2=CC=C(C3=CC=CO3)C=C21,58.8,AM-I
CC1=NC(C2=CC=CC=C2)=NC=C1,73.8,AM-I
CC1=CC=C(C2=CC=C3NN=CC3=C2)C=C1,79.8,AM-I
CC1=NC=CC=C1C(C(C2=CC=C(C=C2)C)=O)C,58.2,AM-I
CC(C1=CC(C2=CC(F)=CN=C2)=CN=C1)=O,57.6,AM-I
CC1=CN=C(C2=CC(F)=NC=C2)C=C1,66.6,AM-I
FC1=CC=C(C=C1)C#CC2=C3N=CC=CN3N=C2,74.4,AM-I
CC1=C(C)C(C(N=C2)=NC=C2C)=CC=C1,64.8537408637872,AM-I
O=S(C1=CC=C(C=C1)C)(OCCC#CC2=CC=C(C(N)=C2)C)=O,81.6,AM-I
COC1=CC(OC)=CC(NC2=CC=C3SC=NC3=C2)=C1,75.0,AM-I
COC1=CC=C(NC2=CC=C3SC=NC3=C2)N=C1,55.8,AM-I
CC1=CN=C(C2=CC=CC(OCC3=CC=CC=C3)=C2)C=C1,84.6,AM-I
O=[N+](C1=CC(C2=CN=C(OC)C=C2)=CC=C1N3CCCCC3)[O-],91.8,AM-I
COC(CCC#CC1=CC(N)=CC=C1C)=O,58.2,AM-I
CC1=CC=C(C2=CC=C(S2)C)C(C)=N1,55.8,AM-I
CC1=NN=C(C(C)C(C2=CC=CS2)=O)C=C1,60.6,AM-I
ClC1=CC=C(C2=NC(OC)=NC(OC)=N2)C=C1,83.4,AM-I
CN1C=CC2=C(C3=CC=C(S3)C)C=CN=C12,80.4,AM-I
NC1=CC(C2=CSC3=CC=CC=C32)=CC=C1C,81.0,AM-I
COC1=CC=CC=C1C2=NC=CC=N2,51.0,AM-I
CC(C)COC1=CC(Br)=CC(C2=CC=CN=C2)=C1,91.2,AM-I
FC(F)(F)C1=CC=CC(C2=CC3=CC=CC=C3C=C2)=N1,93.902334,AM-I
FC1=CC(C2=CC=C(S2)C#N)=NC=C1,76.2,AM-I
CC1=CC=CC(C(C=C2)=NN=C2OC)=C1,72.6,AM-I
CC1=NC(OC)=CC=C1C2=CC=CC(OC)=C2,83.4,AM-I
CC1=CC=C(C(C=C2)=CC=C2C)C(C)=N1,59.4,AM-I
C1(C2=CC3=CC=CC=C3S2)=CC=C4C(NN=C4)=C1,82.2,AM-I
