SMILES,UV_RT-s,Method
O=C(OCC)C1=CN=C(NC2=CC=CC(SC)=C2)N=C1,72.0,AM-II
O=CC1=CC=C(/C=C/C(N2CCOCC2)=O)C=C1F,46.8,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC=CC(CC)=C2)N=C1C,74.4,AM-II
CC1=CC(NC(C=C2OC)=CC=C2OC)=NC3=CC=CC=C13,54.6,AM-II
O=[N+]([O-])C1=CC=CN=C1N2C(C)=CC3=C2C=CC=C3,66.0,AM-II
N#CC1=CC=C(C=C1C#N)OC2=CC(C)=NC=C2,33.6,AM-II
COc1cc(OC)cc(\C=C\c2ccc(Oc3ccc(C)cn3)cc2)c1,76.2,AM-II
COC1=CC=C(C2=CC3=C(C=C2)C=NC=C3)C=N1,42.6,AM-II
O=CC1=CC=C(C=C1OC)OC2=CC(OC)=CN=C2,36.6,AM-II
O=C1N(/C=C/C2=CC=C3NN=CC3=C2)CCC1,42.0,AM-II
CCOC(=O)C1=C(C)C=CC=C1OC1=CN=CC(C(C)=O)=C1,66.0,AM-II
CC(C1=CC=C(C=C1OC2=CC(OC)=CN=C2)F)=O,46.2,AM-II
O=[N+]([O-])C1=CC=CC2=C1NN=C2C3=CC=CC(C)=C3C,66.0,AM-II
N#CCC1=C(C2=CC(Cl)=CN=C2)C=CC=C1,54.0,AM-II
CC1=NC=CC=C1OC1=CC(C(C)N(C)C)=CC=C1,71.4,AM-II
CC1=CN=C(N2C3=CC=CN=C3C=C2)N=C1,52.8,AM-II
CC(C=CC1=CC=C2)=NC1=C2NC3=CC=NC=C3,35.4,AM-II
Cc1ccc(Oc2c(C)cc(Cl)cc2Cl)nc1,76.8,AM-II
O=C(OC)C1=NC=CC(OC2=CC=CC=C2C3=CC=CC=C3)=C1,63.0,AM-II
CC(C=CC1=CC=C2)=NC1=C2NC3=CN=CC(C(OC)=O)=C3,59.4,AM-II
CC1=CN=C(N2C=NC3=CC(C)=CC=C32)N=C1,69.6,AM-II
FC(F)(F)C(C=C1C)=CC=C1NC2=C3C(C=CS3)=NC=N2,65.4,AM-II
CC(C)NC(/C=C/C1=CC2=C(C=C1)NC3=C2C=CC=C3)=O,63.6,AM-II
O=[N+]([O-])C1=CC=C(NC(C=C2OC)=CC=C2OC)N=C1C,66.6,AM-II
O=C(NC1=CC=CC(OC2=CC(OC)=CN=C2)=C1)OC(C)(C)C,60.6,AM-II
O=C(OCC)C1=CN=C(NC2=CC(C(C)=O)=CC=C2)N=C1,66.6,AM-II
O=CC1=C(OC)C=C(/C=C/C(C=C2)=CC=C2C)C=C1,70.2,AM-II
CC1=CN=C(NCC23CC4CC(CC(C3)C4)C2)N=C1,74.4,AM-II
ClC1=C(OC)C(NC(O2)=CC=C2C=O)=CC=C1,56.4,AM-II
CC(C1=CC=C(C=C1OC(C=C2)=NN=C2C)F)=O,45.0,AM-II
O=C(C1=CC(/C=C/C(N2CCOCC2)=O)=CN=C1)OC,41.4,AM-II
COC1=CC(OC)=CC(/C=C/C(C=C2)=CC=C2OC3=CN=CS3)=C1,66.0,AM-II
COC1=CC=C(OC)C(C2=CC=C3N=CC=CC3=C2)=C1,51.6,AM-II
CC1=NC(N(CC2)CCC2N3CCCCC3)=NC=C1,40.8,AM-II
COC1=NC=C(C=C1)OC2=CC=CN=C2C,39.0,AM-II
O=C(OCC)C1=CN=C(NCC23CC4CC(CC(C3)C4)C2)N=C1,80.4,AM-II
Cc1cccc(Oc2ccc(cc2)-c2ccc(F)cc2)n1,75.0,AM-II
C=CC1=CC=C(OC2=CC=C3SC=NC3=C2)C=C1,67.2,AM-II
CC(C1=CC=C(C=C1OC2=CN=C(OC)N=C2OC)F)=O,57.6,AM-II
O=C(OC)C1=CC=NC(/C=C/C(NC(C)C)=O)=C1,46.8,AM-II
O=C(/C=C/C1=CC=CC2=C1C=NN2)N3CCOCC3,42.0,AM-II
CCOC1=NC=CC(NC2=CC=C(N3C4=C(C5=C3C=CC=C5)C=CC=C4)C=C2)=C1,64.8,AM-II
FC(C=C1C(C)=O)=CC=C1OC(C=NC=C2)=C2C,39.0,AM-II
CC(C)NC(/C=C/C1=CN2C(C=C1)=NC=N2)=O,39.0,AM-II
O=CC1=CC=C(C=C1OC(C(C)=N2)=CC=C2C)F,46.8,AM-II
O=CC1=CC=CC=C1NC2=NC=C3C(NC=C3)=N2,50.4,AM-II
CC1=NC=CC(/C=C/C(C=C2)=CC=C2C)=C1,45.6,AM-II
O=C(OC)C1=CC(OC2=CC=C3N=CC=CC3=C2)=CN=C1,45.6,AM-II
O=CC1=CC(OC)=C(/C=C/N(CCC2)C2=O)C=C1OC,51.6,AM-II
C1(OC2=CC=C3SC=NC3=C2)=CC=CC=C1C4=CC=CC=C4,70.8,AM-II
CC(C1=CC=C(NC2=C3OC=CC3=CC=C2)C=C1)=O,59.4,AM-II
O=C1/C(CCC2=C1C3=C(N2C)C=CC=C3)=C/C4=CN5C(N=C4)=CC=N5,58.2,AM-II
CC1=C(/C=C/C(NC(C)C)=O)C(C)=NN1,39.0,AM-II
FC1=CC(OC2=CN=CN2C)=CC(F)=C1C=O,39.0,AM-II
O=C(C1=NC=CC(/C=C/C(N2CCOCC2)=O)=C1)OC,38.4,AM-II
COC1=CN=CC(OC2=CC=C3N=CC=CC3=C2)=C1,40.8,AM-II
O=CC1=C(OC)C=C(/C=C/C(N2CCOCC2)=O)C=C1,47.4,AM-II
ClC1=C(C)C(OC2=CC(OC)=CN=C2)=CC=C1,62.4,AM-II
COC1=CN=CC(/C=C/C(C=C2)=CC=C2C)=C1,57.6,AM-II
COC1=NC=C(C=C1)OC(C(C)=N2)=CC=C2C,39.0,AM-II
CC1=CN=C(N2C=CC(C=C3)=C2C=C3C#N)N=C1,72.0,AM-II
Cc1ccc(F)c(Oc2cccc(C)n2)c1,70.8,AM-II
O=CC1=CC=C(C=C1OC)OC2=CN=CC(C(C)=O)=C2,40.8,AM-II
CN(C)C1=CC=C(C2=CC3=CC=CC=C3C=C2)C=C1,73.8,AM-II
CC1=C(C)C(C2=CC3=C(C=C2)C=NC=C3)=CC=C1,54.0,AM-II
O=C(C1=CN=C(C2=CC=C(F)C(C)=C2)C=C1)OC,66.0,AM-II
COC1=NC=C(C=C1)OC(N=C2Br)=CC=C2[N+]([O-])=O,58.2,AM-II
CC1=C(C(OC)=O)C=CC=C1OC(C=C2)=NN=C2C,50.4,AM-II
FC1=CC(OC2=CC(C)=NC=C2)=CC=C1,37.8,AM-II
Cc1ccc(Oc2ccc(F)c(C)c2)nc1,72.0,AM-II
CC1=C(C=CC=C1NC2=CC3=C(C=C2)C=NC=C3)Cl,46.2,AM-II
CC1=CC(Cl)=CC(Cl)=C1OC1=CN(C)N=C1,68.4,AM-II
FC1=CC(OC2=NC=CC(C(OC)=O)=C2)=CC=C1,62.4,AM-II
N#CC1=CC=C(C=C1C#N)OC(C=C2)=NN=C2C,45.6,AM-II
O=C(OCC)C1=CN=C(NC2=NC=C(C=C2)[N+]([O-])=O)N=C1,67.8,AM-II
O=C(OCC)C1=CN=C(NC(C=C2)=CC=C2CC(OC)=O)N=C1,67.2,AM-II
CC(C)NC(/C=C/C1=CC2=C(OC=C2)C=C1)=O,54.6,AM-II
O=C(OC)C1=CC(OC2=CC3=C(NC=C3)C=C2)=CN=C1,49.8,AM-II
CC1=CC=CN=C1/C=C(CCC2=C3C4=C(N2C)C=CC=C4)/C3=O,59.4,AM-II
O=CC1=CC=C(/C=C/C(N2CCOCC2)=O)C=C1C,48.0,AM-II
CC1=CC(C)=C(N)C(C2=CC=CC3=C2C=CN3)=C1,60.0,AM-II
O=CC1=CC=C(C=C1OC2=CC(OC)=CN=C2)F,54.0,AM-II
O=CC1=CC=C(/C=C/C(NC(C)C)=O)C(OC)=C1,50.4,AM-II
O=[N+]([O-])C1=CC=C(NC2CCCC2)N=C1C,69.6,AM-II
C1(/C=C/C2=CC=NC=C2)=NC3=CC=CC=C3C=C1,41.4,AM-II
O=C(NC(C=C1)=NC=C1[N+]([O-])=O)[C@H]2[C@@H](C2)C3=CC=CC=C3,62.4,AM-II
[O-][N+](C(C=C1)=CC=C1NC(C=C2)=NC=C2C)=O,58.8,AM-II
O=C(C1=NC=CC(/C=C/C(C=C2)=CC=C2C)=C1)OC,62.4,AM-II
O=[N+]([O-])C1=CN=C(NC(C=C2)=CC=C2CC(OC)=O)C(C)=C1,66.0,AM-II
COC1=CC=C(C2=CN=C3NC=CC3=C2)C=N1,50.4,AM-II
FC(F)(F)C1=CN=C(NCC2=CC=CC=C2F)C=C1,70.2,AM-II
FC1=CC=C(C=C1F)OC2=CC(OC)=CN=C2,45.6,AM-II
CCC1=CN=C(NC2=CC=CC=C2C)N=C1,64.2,AM-II
ClC1=C(C)C=C(OC(C=C2)=NN=C2C)C=C1C,59.4,AM-II
COc1cccc(C)c1Oc1cccc(C)n1,68.4,AM-II
COc1cc(C)c(cc1Oc1ccc(C)cn1)C(C)=O,67.2,AM-II
O=C(OCC)C1=CN=C(NC2=CC(OC)=CC=C2C(O)=O)N=C1,72.6,AM-II
O=[N+]([O-])C1=CC=C(NC2CC2)N=C1C,59.4,AM-II
N#CC1=C(C=CC=C1N2C=NC3=CC(C)=CC=C32)C(F)(F)F,65.4,AM-II
Cc1ccc(Oc2cc(C)c(C#N)c(C)c2)nc1,69.6,AM-II
COC1=CC(OC)=CC(NC2=CN=CN2C)=C1,42.6,AM-II
CCOC1=NC=CC(NC2=CC=CC(OC(C)C)=C2)=C1,55.2,AM-II
COC1=NC=C(C=C1)OC2=CN=CC(C(C)=O)=C2,51.0,AM-II
CC1=C(C(OC)=O)C=CC=C1OC2=CC=C3SC=NC3=C2,65.4,AM-II
CC1=CN=C(NC2=CC=CN3C2=NC=C3)N=C1,37.2,AM-II
N#CC1=CC=C(NC(C=C2C)=CC=C2O)N=C1,58.2,AM-II
CC1=CC(C=O)=CC(C)=C1OC(C=C2)=NN=C2C,51.6,AM-II
O=C(/C=C/C1=CC=C2NN=CC2=C1)N3CCOCC3,40.2,AM-II
CN(C)C1=CC=CC(/C=C/C(NC(C)C)=O)=C1,43.2,AM-II
CCOC(=O)c1c(F)cccc1Oc1cccc(C)n1,68.4,AM-II
O=[N+]([O-])C1=CN=C(NC(C=C2OC)=CC=C2OC)C(C)=C1,63.6,AM-II
COC1=CN=C(/C=C/C(NC(C)C)=O)C=C1,41.4,AM-II
CC1=CC=C(OC2=CC=C3SC=NC3=C2)C(F)=C1,72.0,AM-II
FC(C=C1C(C)=O)=CC=C1OC2=CC(OC)=CN=C2,44.4,AM-II
O=CC1=CC=C(C=C1OC2=CC(C(OC)=O)=NC=C2)F,51.0,AM-II
O=C1N(/C=C/C2=CN=C3NC=CC3=C2)CCC1,39.6,AM-II
