SMILES,UV_RT-s,Method
ClC1=NC=C(N(CC2)CC3=C2C=CC=C3)C=N1,76.2,AM-V
CC(C1=CC(N(CC2)CC3=C2C=CC=C3)=CC=C1)=O,69.6,AM-V
CC(C1=CC=C(N2C=NC3=CC(C)=CC=C32)S1)=O,63.6,AM-V
CC1=CC=C2C(N=CN2C3=CC=CO3)=C1,64.2,AM-V
CCOC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=N1,65.4,AM-V
CSC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1,66.6,AM-V
O=[N+](C1=CC(N2C=NC3=CC(C)=CC=C32)=CC=C1C)[O-],66.6,AM-V
CCC1=CC=CC=C1N2C=NC3=CC(C)=CC=C32,66.0,AM-V
FC1=NC=C(NC2=NC(C)=CC(C)=C2)C=C1,45.0,AM-V
CC1=CC(C)=CC(NC2=CSC=C2)=N1,48.0,AM-V
CC(C1=CC(NC2=NC(C)=CC(C)=C2)=CC=C1)=O,49.2,AM-V
O=[N+](C1=CC(NC2=NC(C)=CC(C)=C2)=CC=C1C)[O-],57.0,AM-V
CCC1=CC=CC=C1NC2=NC(C)=CC(C)=C2,54.0,AM-V
CN1N=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C,70.8,AM-V
ClC1=NC=C(N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C)C=N1,72.0,AM-V
CC(C1=CC=C(N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C)S1)=O,71.4,AM-V
CC1=CC=C(N(C2=CSC=C2)C3=CC=C(OC)C=C3)C=C1,78.0,AM-V
CC1=CC(N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C)=CC=C1F,81.6,AM-V
CC(C1=CC(N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C)=CC=C1)=O,74.4,AM-V
CC(NC1=CC(N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C)=CC=C1)=O,70.8,AM-V
CC1=CC=C(N(C2=CC=CC(OC(C)C)=C2)C3=CC=C(OC)C=C3)C=C1,80.4,AM-V
COC(C1=CC=C(N(CC2)CC3=C2C=CC=C3)C=C1)=O,72.0,AM-V
CC(C1=CC(NC(C=C2)=CC=C2CC(OC)=O)=CC=C1)=O,63.0,AM-V
COC1=CC=C(OC)C(NC(C=C2)=CC=C2CC(OC)=O)=C1,66.0,AM-V
O=C(OC)CC1=CC=C(NC2=CC=CC(OC(C)C)=C2)C=C1,67.8,AM-V
CC(C1=CC(NC2=CN=CC3=C2C=CC=C3)=CC=C1)=O,51.6,AM-V
FC1=NC(F)=CC=C1NC2=CN=CC3=C2C=CC=C3,49.8,AM-V
FC1=NC=C(NC2=CC=C3N=CC=CC3=C2)C=C1,48.0,AM-V
CC(NC1=CC(NC2=CC=C3N=CC=CC3=C2)=CC=C1)=O,48.6,AM-V
O=[N+](C1=CC(NC2=CC=C3N=CC=CC3=C2)=CC=C1C)[O-],60.0,AM-V
O=C(OC)C1=CC=NC=C1NC2=CC=CC(C)=C2C,69.0,AM-V
O=C(OC)C1=CC=NC=C1NC2=CC=C(F)N=C2F,60.0,AM-V
COC(C1=CC=C(NC2=CC(C(OC)=O)=CC=N2)C=C1)=O,64.8,AM-V
CC1=CC(NC2=CC(C(OC)=O)=CC=N2)=CC=C1F,65.4,AM-V
O=[N+](C1=CC(NC2=CC(C(OC)=O)=CC=N2)=CC=C1C)[O-],66.6,AM-V
COC(C1=CC=C(N(C=C(C)C=C2)C2=O)C=C1)=O,56.4,AM-V
COC1=NC=CC=C1N(C=C(C)C=C2)C2=O,52.8,AM-V
CC(C1=CC(N(C=C(C)C=C2)C2=O)=CC=C1)=O,54.0,AM-V
O=[N+](C1=CC(N(C=C(C)C=C2)C2=O)=CC=C1C)[O-],58.2,AM-V
CC(C)(C)C1=CC=C(N(C=C(C)C=C2)C2=O)C=C1,66.0,AM-V
COC1=NC=CC=C1NC2=CC(C(F)(F)F)=NC=C2,61.2,AM-V
C12=NC=CC=C1N(C3=CSC=C3)C=C2,44.4,AM-V
O=CC1=CC=C(N2C3=CC=CN=C3C=C2)O1,42.0,AM-V
COC1=NC(OC)=NC=C1N2C3=CC=CN=C3C=C2,43.8,AM-V
COC1=NC=C(NC(C=C2)=CC=C2C(OC)=O)C=C1,63.6,AM-V
COC(C1=CC=C(NC2=NC=CC=C2)C=C1)=O,56.4,AM-V
CC1=CC(NC2=NC=CC=C2)=CC=C1F,49.2,AM-V
CSC1=CC=C(NC2=NC=CC=C2)C=C1,50.4,AM-V
O=[N+](C1=CC(NC2=NC=CC=C2)=CC=C1C)[O-],58.2,AM-V
CC1=CC=C(NC2=NC=CC=C2)C=C1,48.0,AM-V
COC(C1=CC=C(NC(C=C2OC)=CC=C2C(OC)=O)C=C1)=O,64.2,AM-V
O=C(OC)C1=CC=C(NC2=COC=C2)C=C1OC,54.6,AM-V
